"filename", "language", "Markdown", "TypeScript", "JSON", "JavaScript", "YAML", "HTML", "TypeScript JSX", "Log", "JSON with Comments", "Ini", "PowerShell", "PostCSS", "MS SQL", "Dotenv", "comment", "blank", "total"
"c:\titan-automation\QuoteVaultPro\.anima\conventions.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\titan-automation\QuoteVaultPro\.anima\workspace.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\titan-automation\QuoteVaultPro\.cursor\skills\tianos-prepress-rules\SKILL.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\titan-automation\QuoteVaultPro\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 9, 43
"c:\titan-automation\QuoteVaultPro\.github\copilot-instructions.md", "Markdown", 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 335
"c:\titan-automation\QuoteVaultPro\.github\workflows\project-add.yml", "YAML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\titan-automation\QuoteVaultPro\.github\workflows\project-status.yml", "YAML", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 207
"c:\titan-automation\QuoteVaultPro\.github\workflows\smoke.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\titan-automation\QuoteVaultPro\.roo\rules-code\rules.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\titan-automation\QuoteVaultPro\.zencoder\rules\repo.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"c:\titan-automation\QuoteVaultPro\ADMIN_OVERRIDE_TERMINAL_ORDERS.md", "Markdown", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 132
"c:\titan-automation\QuoteVaultPro\ARTWORK_PIPELINE_IMPLEMENTATION.md", "Markdown", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 124
"c:\titan-automation\QuoteVaultPro\ASSET_PIPELINE_PHASE1_COMPLETE.md", "Markdown", 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 275
"c:\titan-automation\QuoteVaultPro\ASSET_PIPELINE_PHASE2_TESTING.md", "Markdown", 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 368
"c:\titan-automation\QuoteVaultPro\ASSET_PIPELINE_SUMMARY.md", "Markdown", 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 431
"c:\titan-automation\QuoteVaultPro\CONFIG_ERROR_HANDLING.md", "Markdown", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 90
"c:\titan-automation\QuoteVaultPro\CONTRIBUTING.md", "Markdown", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 231
"c:\titan-automation\QuoteVaultPro\DEPLOYMENT_CHECKLIST.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\titan-automation\QuoteVaultPro\DEPLOYMENT_SUMMARY.md", "Markdown", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 125
"c:\titan-automation\QuoteVaultPro\EMAIL_SETTINGS_INVESTIGATION.md", "Markdown", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 299
"c:\titan-automation\QuoteVaultPro\EMAIL_SETTINGS_UI_RESTORATION.md", "Markdown", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 271
"c:\titan-automation\QuoteVaultPro\ENHANCED_OPTIONS_IMPLEMENTATION.md", "Markdown", 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 427
"c:\titan-automation\QuoteVaultPro\INVOICE_SEND_AND_THUMBNAILS_FIX.md", "Markdown", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 221
"c:\titan-automation\QuoteVaultPro\KernalInstructionsTitanOS.md", "Markdown", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 132
"c:\titan-automation\QuoteVaultPro\KernalTitanOSSHORT.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\titan-automation\QuoteVaultPro\LAMINATION_DISPLAY_VISUAL_REFERENCE.md", "Markdown", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 215
"c:\titan-automation\QuoteVaultPro\MIGRATION_0012_VERIFICATION.md", "Markdown", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 186
"c:\titan-automation\QuoteVaultPro\MULTI_MATERIAL_TRACKING.md", "Markdown", 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 481
"c:\titan-automation\QuoteVaultPro\NAVIGATION_AUDIT_RESULTS.md", "Markdown", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 222
"c:\titan-automation\QuoteVaultPro\NEON_MVP_INVOICING_BILLING_READY.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 13, 10, 132
"c:\titan-automation\QuoteVaultPro\ORDER_COMPLETION_IMPLEMENTATION.md", "Markdown", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 155
"c:\titan-automation\QuoteVaultPro\ORDER_LINE_ITEM_ARTWORK_COMPLETE.md", "Markdown", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 108
"c:\titan-automation\QuoteVaultPro\PASSWORD_RESET_IMPLEMENTATION.md", "Markdown", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 215
"c:\titan-automation\QuoteVaultPro\PBV2_FIGMA_ALIGNMENT_COMPLETE.md", "Markdown", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 196
"c:\titan-automation\QuoteVaultPro\PBV2_INITIALIZATION_VALIDATION_FIX.md", "Markdown", 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 494
"c:\titan-automation\QuoteVaultPro\PBV2_JSON_HARDENING_COMPLETE.md", "Markdown", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 279
"c:\titan-automation\QuoteVaultPro\PBV2_JSON_IMPORT_EXPORT_COMPLETE.md", "Markdown", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 243
"c:\titan-automation\QuoteVaultPro\PBV2_LAYOUT_REFACTOR_COMPLETE.md", "Markdown", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 193
"c:\titan-automation\QuoteVaultPro\PBV2_OPTIONS_UI_REFACTOR_COMPLETE.md", "Markdown", 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 476
"c:\titan-automation\QuoteVaultPro\PBV2_PERSISTENCE_FIX.md", "Markdown", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 373
"c:\titan-automation\QuoteVaultPro\PBV2_SCHEMA_CONFORMANCE_ROOT_CAUSE.md", "Markdown", 538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 669
"c:\titan-automation\QuoteVaultPro\PBV2_SCHEMA_VALIDATION_FIX_COMPLETE.md", "Markdown", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 320
"c:\titan-automation\QuoteVaultPro\PBV2_VALIDATION_GATING_FIX.md", "Markdown", 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 692
"c:\titan-automation\QuoteVaultPro\PBV2_VISUAL_COMPARISON.md", "Markdown", 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 264
"c:\titan-automation\QuoteVaultPro\PHASE2_ORDER_TRANSITIONS_COMPLETE.md", "Markdown", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 263
"c:\titan-automation\QuoteVaultPro\PHASE3_TENANT_HARDENING_COMPLETE.md", "Markdown", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 219
"c:\titan-automation\QuoteVaultPro\PREPRESS_FINDINGS_AND_FIXES_IMPLEMENTATION.md", "Markdown", 356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 435
"c:\titan-automation\QuoteVaultPro\PREPRESS_IMPLEMENTATION_SUMMARY.md", "Markdown", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 254
"c:\titan-automation\QuoteVaultPro\PREPRESS_MULTI_FORMAT_UPGRADE.md", "Markdown", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 275
"c:\titan-automation\QuoteVaultPro\PREPRESS_UI_FIX_AND_JOB_LIST.md", "Markdown", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 265
"c:\titan-automation\QuoteVaultPro\PRODUCTION_ARTWORK_WHEEL_ZOOM_COMPLETE.md", "Markdown", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 104
"c:\titan-automation\QuoteVaultPro\PRODUCTION_AUTH_FIX.md", "Markdown", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 102
